year,number
1998,0
1999,0
2000,0
2001,0
2002,0
2003,10
2004,0
2005,12
2006,4
2007,0
2008,0
2009,0
2010,1
2011,0
2012,0
2013,0
2014,0
2015,1
2016,12
2017,0
1998,0
1999,0
2000,0
2001,0
2002,1
2003,0
2004,3
2005,0
2006,0
2007,5
2008,0
2009,2
2010,0
2011,0
2012,0
2013,0
2014,0
2015,2
2016,5
2017,1
1998,0
1999,0
2000,11
2001,0
2002,0
2003,0
2004,0
2005,3
2006,0
2007,2
2008,0
2009,1
2010,0
2011,0
2012,1
2013,2
2014,1
2015,2
2016,0
2017,0
1998,0
1999,0
2000,1
2001,0
2002,0
2003,1
2004,2
2005,1
2006,0
2007,0
2008,0
2009,0
2010,3
2011,2
2012,1
2013,19
2014,7
2015,3
2016,0
2017,1
1998,0
1999,0
2000,1
2001,0
2002,0
2003,6
2004,7
2005,2
2006,8
2007,1
2008,0
2009,3
2010,9
2011,3
2012,3
2013,4
2014,1
2015,2
2016,21
2017,10
1998,3
1999,0
2000,1
2001,1
2002,0
2003,0
2004,5
2005,27
2006,1
2007,4
2008,0
2009,0
2010,1
2011,10
2012,7
2013,8
2014,17
2015,40
2016,87
2017,45
1998,37
1999,1
2000,1
2001,3
2002,39
2003,168
2004,42
2005,368
2006,33
2007,29
2008,41
2009,31
2010,126
2011,93
2012,71
2013,54
2014,60
2015,109
2016,533
2017,457
1998,130
1999,63
2000,136
2001,396
2002,728
2003,1.976
2004,645
2005,4.198
2006,839
2007,960
2008,445
2009,194
2010,1.682
2011,425
2012,739
2013,679
2014,1.1
2015,1.397
2016,2.188
2017,1.493
1998,509
1999,209
2000,265
2001,290
2002,1.949
2003,3.942
2004,1.978
2005,4.253
2006,2.37
2007,2.08
2008,1.666
2009,1.265
2010,2.531
2011,1.204
2012,1.996
2013,2.136
2014,2.175
2015,2.928
2016,3.586
2017,3.429
1998,44
1999,60
2000,18
2001,137
2002,687
2003,740
2004,461
2005,547
2006,316
2007,203
2008,652
2009,565
2010,292
2011,97
2012,348
2013,258
2014,406
2015,905
2016,509
2017,1.508
1998,0
1999,0
2000,0
2001,1
2002,86
2003,15
2004,10
2005,14
2006,18
2007,7
2008,4
2009,33
2010,39
2011,74
2012,13
2013,79
2014,56
2015,115
2016,46
2017,98
1998,7
1999,0
2000,0
2001,0
2002,1
2003,1
2004,7
2005,2
2006,0
2007,0
2008,0
2009,1
2010,0
2011,4
2012,1
2013,3
2014,6
2015,8
2016,6
1998,0
1999,58
2000,11
2001,5
2002,12
2003,150
2004,9
2005,83
2006,29
2007,33
2008,55
2009,104
2010,23
2011,41
2012,36
2013,49
2014,54
2015,81
2016,24
2017,38
2017,38
1998,0
1999,20
2000,16
2001,4
2002,15
2003,33
2004,7
2005,31
2006,14
2007,28
2008,74
2009,32
2010,26
2011,33
2012,41
2013,19
2014,29
2015,46
2016,14
2017,21
1998,0
1999,52
2000,32
2001,0
2002,27
2003,15
2004,16
2005,35
2006,37
2007,7
2008,31
2009,31
2010,70
2011,34
2012,44
2013,31
2014,28
2015,32
2016,9
2017,23
1998,0
1999,4
2000,20
2001,0
2002,6
2003,20
2004,6
2005,1
2006,2
2007,1
2008,18
2009,5
2010,3
2011,17
2012,18
2013,25
2014,16
2015,63
2016,13
2017,7
1998,0
1999,1
2000,1
2001,2
2002,1
2003,1
2004,3
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,21
2013,2
2014,1
2015,18
2016,4
2017,1
1998,0
1999,0
2000,0
2001,2
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,2
2012,4
2013,1
2014,2
2015,2
2016,5
2017,2
1998,0
1999,0
2000,0
2001,0
2002,5
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,2
2011,0
2012,0
2013,0
2014,1
2015,0
2016,3
2017,0
1998,1
1999,3
2000,4
2001,1
2002,3
2003,2
2004,2
2005,2
2006,1
2007,3
2008,1
2009,0
2010,1
2011,4
2012,0
2013,0
2014,3
2015,3
2016,5
2017,1
1998,14
1999,3
2000,22
2001,5
2002,14
2003,8
2004,5
2005,7
2006,4
2007,2
2008,9
2009,13
2010,5
2011,5
2012,6
2013,4
2014,11
2015,7
2016,18
2017,4
1998,20
1999,4
2000,13
2001,15
2002,30
2003,10
2004,12
2005,17
2006,32
2007,6
2008,18
2009,30
2010,16
2011,23
2012,28
2013,25
2014,7
2015,40
2016,74
2017,14
1998,19
1999,15
2000,2
2001,22
2002,50
2003,17
2004,28
2005,25
2006,12
2007,15
2008,37
2009,55
2010,31
2011,23
2012,95
2013,10
2014,14
2015,162
2016,76
2017,10
1998,32
1999,12
2000,2
2001,30
2002,95
2003,43
2004,71
2005,16
2006,30
2007,33
2008,34
2009,55
2010,45
2011,50
2012,59
2013,42
2014,24
2015,136
2016,155
1998,0
1999,0
2000,2
2001,0
2002,7
2003,31
2004,38
2005,109
2006,6
2007,0
2008,2
2009,4
2010,2
2011,0
2012,30
2013,3
2014,10
2015,14
2016,19
2017,2
1998,0
1999,1
2000,0
2001,0
2002,2
2003,0
2004,2
2005,1
2006,2
2007,0
2008,0
2009,0
2010,0
2011,3
2012,5
2013,0
2014,2
2015,1
2016,1
2017,0
1998,0
1999,2
2000,0
2001,0
2002,0
2003,1
2004,0
2005,0
2006,0
2007,0
2008,1
2009,1
2010,2
2011,0
2012,1
2013,0
2014,1
2015,2
2016,5
2017,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,2
2004,0
2005,0
2006,0
2007,0
2008,2
2009,0
2010,2
2011,0
2012,2
2013,2
2014,0
2015,0
2016,0
2017,3
1998,0
1999,0
2000,0
2001,0
2002,3
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,2
2010,2
2011,2
2012,2
2013,0
2014,0
2015,0
2016,1
2017,1
1998,0
1999,2
2000,0
2001,0
2002,0
2003,0
2004,5
2005,2
2006,0
2007,0
2008,0
2009,1
2010,0
2011,0
2012,7
2013,1
2014,0
2015,3
2016,2
2017,2
1998,0
1999,0
2000,0
2001,1
2002,1
2003,0
2004,2
2005,0
2006,0
2007,0
2008,0
2009,4
2010,2
2011,5
2012,3
2013,1
2014,4
2015,5
2016,1
2017,3
1998,1
1999,0
2000,3
2001,12
2002,18
2003,14
2004,9
2005,4
2006,11
2007,5
2008,4
2009,20
2010,1
2011,16
2012,19
2013,9
2014,18
2015,40
2016,37
2017,33
1998,20
1999,4
2000,19
2001,95
2002,73
2003,88
2004,67
2005,97
2006,112
2007,61
2008,83
2009,188
2010,63
2011,128
2012,168
2013,85
2014,137
2015,192
2016,142
2017,95
1998,42
1999,25
2000,42
2001,194
2002,557
2003,355
2004,412
2005,335
2006,405
2007,162
2008,395
2009,765
2010,265
2011,304
2012,475
2013,385
2014,480
2015,827
2016,793
2017,468
1998,131
1999,26
2000,157
2001,406
2002,1.096
2003,750
2004,949
2005,685
2006,207
2007,198
2008,266
2009,1.019
2010,339
2011,282
2012,969
2013,341
2014,484
2015,1.3
2016,1.161
2017,858
1998,84
1999,41
2000,30
2001,593
2002,200
2003,411
2004,777
2005,38
2006,74
2007,14
2008,32
2009,123
2010,43
2011,360
2012,422
2013,148
2014,354
2015,269
2016,491
1998,0
1999,3
2000,7
2001,3
2002,17
2003,158
2004,123
2005,44
2006,20
2007,37
2008,16
2009,9
2010,82
2011,53
2012,6
2013,37
2014,46
2015,35
2016,770
2017,65
1998,0
1999,43
2000,62
2001,8
2002,2
2003,62
2004,92
2005,6
2006,10
2007,92
2008,32
2009,3
2010,81
2011,30
2012,25
2013,16
2014,49
2015,107
2016,275
2017,52
1998,0
1999,7
2000,69
2001,6
2002,5
2003,64
2004,6
2005,12
2006,20
2007,6
2008,10
2009,11
2010,116
2011,49
2012,17
2013,49
2014,50
2015,46
2016,140
2017,45
1998,0
1999,2
2000,18
2001,1
2002,2
2003,11
2004,4
2005,5
2006,5
2007,0
2008,13
2009,1
2010,11
2011,5
2012,3
2013,20
2014,25
2015,24
2016,22
2017,20
1998,0
1999,0
2000,51
2001,0
2002,8
2003,2
2004,0
2005,8
2006,4
2007,0
2008,1
2009,3
2010,13
2011,6
2012,12
2013,19
2014,12
2015,10
2016,30
2017,40
1998,2
1999,7
2000,6
2001,5
2002,5
2003,3
2004,12
2005,78
2006,9
2007,23
2008,7
2009,13
2010,9
2011,22
2012,45
2013,56
2014,74
2015,33
2016,90
2017,119
1998,71
1999,11
2000,39
2001,9
2002,146
2003,180
2004,177
2005,676
2006,123
2007,116
2008,108
2009,199
2010,640
2011,271
2012,234
2013,248
2014,202
2015,356
2016,1.137
2017,1.975
1998,321
1999,259
2000,180
2001,501
2002,741
2003,1.867
2004,1.207
2005,2.316
2006,1.422
2007,2.241
2008,861
2009,1.321
2010,3.727
2011,1.243
2012,3.011
2013,1.276
2014,3.852
2015,4.564
2016,3.611
2017,6.316
1998,267
1999,216
2000,189
2001,166
2002,928
2003,1.401
2004,911
2005,2.812
2006,2.218
2007,1.36
2008,998
2009,3.091
2010,2.781
2011,1.295
2012,2.392
2013,1.739
2014,3.057
2015,5.882
2016,3.119
2017,4.033
1998,83
1999,479
2000,145
2001,332
2002,695
2003,725
2004,710
2005,545
2006,721
2007,215
2008,632
2009,2.189
2010,889
2011,694
2012,1.238
2013,1.202
2014,952
2015,2.494
2016,2.105
2017,1.581
1998,6
1999,32
2000,27
2001,244
2002,259
2003,169
2004,209
2005,261
2006,59
2007,90
2008,39
2009,973
2010,354
2011,399
2012,682
2013,220
2014,676
2015,1.054
2016,591
2017,552
1998,196
1999,2
2000,60
2001,22
2002,44
2003,147
2004,53
2005,17
2006,23
